CustomerID,Gender,Age,Tenure,Contract Type,Monthly Charges,Total Charges,Internet Service,Payment Method,Churn
C00077,Female,62,21,Monthly,100,2097,Wireless,Bank Transfer,Yes
C00078,Male,60,39,Monthly,95,3721,Wireless,Cash,No
C00079,Male,45,52,Monthly,147,7662,Wireless,Cash,No
C00080,Male,59,39,Monthly,98,3830,Cable,UPI,Yes
C00081,Female,56,46,Monthly,105,4816,DSL,Debit Card,No
C00082,Male,35,8,Monthly,141,1141,Wireless,Cash,No
C00083,Male,18,72,Quarterly,57,4103,Fiber,Debit Card,No
C00084,Male,61,40,Monthly,136,5435,Wireless,Debit Card,Yes
C00085,Female,66,40,Yearly,47,1877,Cable,Cash,No
C00086,Female,48,25,Monthly,89,2229,DSL,Bank Transfer,Yes
C00087,Female,38,7,Monthly,146,1026,Fiber,Debit Card,No
C00088,Female,35,52,Quarterly,105,5475,DSL,Bank Transfer,No
C00089,Male,28,48,Monthly,37,1787,DSL,Cash,No
C00090,Male,59,72,Monthly,74,5340,Wireless,Credit Card,No
C00091,Female,48,18,Quarterly,91,1644,Fiber,Bank Transfer,No
C00092,Female,52,50,Yearly,77,3855,Cable,Credit Card,No
C00093,Female,72,51,Quarterly,90,4582,Cable,Debit Card,No
C00094,Male,30,49,Monthly,68,3332,Cable,UPI,Yes
C00095,Male,39,29,Monthly,119,3460,Cable,UPI,Yes
C00096,Male,53,30,Yearly,105,3139,Fiber,Cash,No
C00097,Male,60,44,Monthly,98,4299,DSL,Credit Card,No
C00098,Male,24,4,Yearly,102,396,DSL,UPI,No
C00099,Male,19,23,Monthly,150,3442,Wireless,Cash,No
C00100,Male,74,66,Yearly,32,2126,Wireless,Credit Card,No
C00101,Female,67,1,Quarterly,81,98,Wireless,Bank Transfer,Yes
C00102,Female,21,65,Monthly,139,9029,Wireless,Bank Transfer,No
C00103,Female,30,36,Monthly,36,1294,Wireless,Debit Card,Yes
C00104,Female,22,22,Monthly,41,885,Wireless,Bank Transfer,No
C00105,Male,48,33,Quarterly,73,2408,Cable,Credit Card,No
C00106,Male,73,13,Quarterly,132,1701,Fiber,Bank Transfer,No
C00107,Female,41,11,Yearly,38,435,DSL,Bank Transfer,No
C00108,Female,60,55,Monthly,93,5104,Cable,Cash,No
C00109,Male,60,6,Monthly,135,796,DSL,Debit Card,Yes
C00110,Male,53,31,Yearly,122,3790,DSL,Cash,No
C00111,Female,55,50,Monthly,55,2766,DSL,Cash,No
C00112,Female,66,25,Yearly,45,1139,Wireless,Debit Card,No
C00113,Male,64,2,Monthly,44,106,Wireless,Debit Card,No
C00114,Female,48,66,Yearly,112,7384,Cable,Credit Card,Yes
C00115,Male,75,60,Monthly,73,4360,Wireless,Credit Card,No
C00116,Male,67,28,Yearly,129,3592,Fiber,UPI,No
C00117,Female,30,33,Quarterly,66,2197,DSL,Debit Card,No
C00118,Female,62,63,Monthly,95,5983,DSL,Debit Card,No
C00119,Female,43,33,Yearly,37,1232,Wireless,UPI,No
C00120,Male,44,51,Quarterly,96,4907,Wireless,Cash,No
C00121,Male,61,21,Monthly,134,2817,Wireless,Credit Card,No
C00122,Male,63,64,Quarterly,137,8771,Fiber,Credit Card,No
C00123,Female,71,18,Yearly,91,1646,Wireless,UPI,No
C00124,Male,35,60,Yearly,85,5111,Cable,Credit Card,No
C00125,Female,19,44,Monthly,39,1725,Wireless,Credit Card,No
C00126,Female,52,27,Monthly,146,3933,Cable,UPI,No
C00127,Male,20,28,Yearly,104,2918,Fiber,UPI,No
C00128,Male,74,47,Monthly,48,2262,Fiber,Cash,No
C00129,Male,74,24,Monthly,145,3466,Fiber,Cash,Yes
C00130,Male,67,16,Monthly,104,1672,DSL,Bank Transfer,Yes
C00131,Male,35,34,Yearly,110,3758,Wireless,Bank Transfer,No
C00132,Female,42,64,Yearly,101,6473,Wireless,Cash,Yes
C00133,Male,43,68,Yearly,119,8077,DSL,Credit Card,Yes
C00134,Female,56,60,Yearly,107,6411,Fiber,Credit Card,Yes
C00135,Female,38,46,Quarterly,99,4551,Cable,Cash,No
C00136,Male,70,10,Quarterly,45,445,Fiber,Cash,No
C00137,Female,72,20,Quarterly,90,1802,Cable,Credit Card,No
C00138,Male,33,35,Quarterly,100,3499,Fiber,Credit Card,No
C00139,Female,45,50,Quarterly,62,3102,Fiber,Debit Card,No
C00140,Male,25,6,Monthly,59,348,DSL,Credit Card,Yes
C00141,Female,32,18,Yearly,129,2314,DSL,UPI,No
C00142,Female,47,14,Yearly,109,1507,Fiber,Cash,No
C00143,Male,61,70,Monthly,96,6736,Cable,UPI,Yes
C00144,Female,50,4,Yearly,77,313,Cable,Cash,No
C00145,Male,64,42,Yearly,64,2689,Cable,UPI,No
C00146,Male,32,65,Quarterly,54,3511,Wireless,Debit Card,No
C00147,Male,36,47,Monthly,150,7052,Cable,UPI,No
C00148,Male,60,35,Yearly,57,1998,Wireless,Credit Card,No
C00149,Female,19,62,Monthly,67,4148,Wireless,UPI,No
C00150,Male,21,61,Yearly,109,6645,Wireless,Debit Card,Yes
C00151,Male,35,56,Monthly,64,3601,Cable,Debit Card,No
C00152,Female,63,50,Monthly,34,1696,Wireless,Credit Card,Yes
C00153,Male,73,31,Yearly,120,3731,Fiber,Debit Card,No
C00154,Male,38,18,Monthly,67,1194,Fiber,UPI,Yes
C00155,Male,71,51,Monthly,35,1792,Cable,UPI,No
C00156,Female,52,6,Monthly,103,607,Fiber,Debit Card,Yes
C00157,Female,59,29,Yearly,100,2905,Wireless,Bank Transfer,No
C00158,Female,47,50,Quarterly,129,6455,DSL,Bank Transfer,No
C00159,Male,31,8,Quarterly,44,336,Wireless,Cash,No
C00160,Female,43,31,Quarterly,111,3443,Cable,Cash,No
C00161,Male,44,8,Monthly,114,902,Fiber,Cash,No
C00162,Male,75,37,Yearly,34,1240,DSL,Debit Card,Yes
C00163,Male,59,48,Monthly,35,1698,Fiber,Debit Card,No
C00164,Female,41,43,Monthly,88,3782,DSL,Debit Card,No
C00165,Female,30,11,Monthly,53,598,Cable,Bank Transfer,No
C00166,Female,29,31,Monthly,100,3091,Wireless,UPI,No
C00167,Female,39,72,Yearly,58,4191,Fiber,Credit Card,No
C00168,Male,37,61,Quarterly,142,8659,Cable,Credit Card,No
C00169,Female,37,50,Monthly,144,7205,DSL,Credit Card,Yes
C00170,Female,19,42,Yearly,138,5782,DSL,Cash,No
C00171,Male,61,53,Yearly,141,7467,Fiber,Debit Card,No
C00172,Female,61,69,Quarterly,54,3727,DSL,Cash,No
C00173,Male,69,40,Monthly,94,3764,Cable,Credit Card,No
C00174,Male,75,28,Monthly,146,4107,Fiber,Credit Card,No
C00175,Female,28,39,Monthly,108,4206,Cable,Bank Transfer,No
C00176,Male,61,14,Monthly,38,552,Cable,UPI,No
C00177,Female,72,25,Monthly,135,3374,Fiber,Debit Card,No
C00178,Male,53,15,Monthly,120,1788,Wireless,UPI,Yes
C00179,Female,39,55,Monthly,66,3638,Fiber,Cash,No
C00180,Male,24,37,Quarterly,109,4039,Fiber,Cash,No
C00181,Male,40,60,Yearly,110,6583,Wireless,Bank Transfer,No
C00182,Male,32,15,Yearly,149,2247,DSL,Credit Card,No
C00183,Male,22,4,Quarterly,73,306,Wireless,Bank Transfer,No
C00184,Male,59,71,Quarterly,111,7896,DSL,Credit Card,No
C00185,Female,56,18,Monthly,116,2090,Fiber,UPI,No
C00186,Male,32,12,Monthly,128,1535,DSL,Credit Card,Yes
C00187,Female,33,27,Monthly,146,3926,Fiber,Credit Card,No
C00188,Male,54,43,Quarterly,137,5899,DSL,Debit Card,No
C00189,Female,74,55,Quarterly,101,5539,Wireless,Cash,No
C00190,Female,54,16,Monthly,39,625,Wireless,Cash,Yes
C00191,Male,75,36,Monthly,38,1349,Fiber,Cash,Yes
C00192,Female,35,28,Monthly,42,1161,Wireless,Bank Transfer,No
C00193,Female,73,20,Monthly,123,2450,Cable,Debit Card,Yes
C00194,Male,35,20,Monthly,102,2034,Wireless,Debit Card,No
C00195,Female,40,13,Monthly,30,395,Fiber,Cash,No
C00196,Female,63,32,Monthly,31,992,Cable,Debit Card,No
C00197,Male,56,62,Quarterly,30,1858,Wireless,Credit Card,No
C00198,Female,40,61,Monthly,91,5562,DSL,Debit Card,No
C00199,Female,36,4,Monthly,75,294,Fiber,Credit Card,No
C00200,Female,37,7,Quarterly,149,1031,Cable,Credit Card,No
C00201,Male,70,30,Yearly,64,1907,DSL,Credit Card,No
C00202,Male,41,70,Quarterly,105,7370,Wireless,UPI,No
C00203,Male,64,13,Quarterly,118,1548,Fiber,UPI,No
C00204,Female,22,72,Monthly,107,7691,Wireless,Credit Card,No
C00205,Male,70,20,Yearly,128,2550,Fiber,UPI,No
C00206,Male,62,54,Monthly,108,5842,DSL,Bank Transfer,No
C00207,Female,45,2,Monthly,83,156,Wireless,Cash,Yes
C00208,Male,61,28,Yearly,64,1789,Cable,Credit Card,No
C00209,Male,40,67,Monthly,80,5342,Wireless,Credit Card,No
C00210,Female,30,69,Monthly,123,8477,DSL,Credit Card,No
C00211,Female,31,2,Quarterly,89,191,Fiber,Credit Card,Yes
C00212,Male,52,2,Quarterly,52,119,Wireless,Credit Card,No
C00213,Male,57,12,Yearly,76,930,DSL,UPI,No
C00214,Female,49,33,Yearly,123,4064,DSL,Debit Card,No
C00215,Female,20,51,Yearly,59,3015,Fiber,Debit Card,No
C00216,Female,34,53,Yearly,99,5234,Cable,Debit Card,No
C00217,Male,20,44,Quarterly,65,2880,Cable,UPI,No
C00218,Female,52,29,Yearly,73,2127,Fiber,Cash,No
C00219,Female,34,1,Yearly,45,55,Cable,Credit Card,No
C00220,Female,49,46,Quarterly,109,5009,DSL,Credit Card,No
C00221,Male,44,45,Monthly,62,2806,Fiber,UPI,Yes
C00222,Male,26,10,Monthly,38,368,Cable,Debit Card,No
C00223,Male,72,47,Yearly,97,4545,Fiber,Bank Transfer,No
C00224,Male,25,16,Monthly,143,2270,DSL,Cash,No
C00225,Female,58,46,Yearly,40,1858,Cable,Debit Card,No
C00226,Male,63,33,Monthly,55,1808,DSL,UPI,Yes
C00227,Male,47,20,Monthly,34,676,DSL,UPI,No
C00228,Male,30,41,Yearly,37,1526,DSL,UPI,No
C00229,Female,61,58,Monthly,110,6383,Cable,Cash,Yes
C00230,Male,53,31,Monthly,75,2323,Cable,Cash,Yes
C00231,Female,50,42,Yearly,56,2348,Wireless,Bank Transfer,No
C00232,Female,51,26,Yearly,87,2267,Fiber,Cash,No
C00233,Male,45,33,Quarterly,58,1902,Fiber,Cash,No
C00234,Male,27,43,Monthly,80,3434,Wireless,Bank Transfer,Yes
C00235,Female,23,28,Quarterly,42,1183,Wireless,UPI,No
C00236,Male,32,43,Monthly,84,3607,Wireless,Credit Card,Yes
C00237,Female,41,9,Yearly,111,1003,DSL,Credit Card,No
C00238,Male,63,64,Quarterly,70,4484,Fiber,Bank Transfer,No
C00239,Female,48,56,Monthly,30,1675,Fiber,Bank Transfer,Yes
C00240,Male,46,48,Monthly,68,3280,DSL,Debit Card,No
C00241,Male,49,45,Monthly,118,5293,Fiber,UPI,No
C00242,Male,54,8,Quarterly,36,292,Fiber,Bank Transfer,Yes
C00243,Female,22,43,Monthly,79,3385,DSL,UPI,No
C00244,Male,47,38,Monthly,150,5682,Fiber,Credit Card,Yes
C00245,Male,57,2,Monthly,38,93,Fiber,Cash,Yes
C00246,Female,39,34,Monthly,39,1343,DSL,UPI,No
C00247,Male,36,72,Yearly,99,7108,Cable,Debit Card,No
C00248,Female,49,26,Quarterly,119,3104,Wireless,UPI,No
C00249,Female,51,14,Monthly,47,654,Fiber,UPI,No
C00250,Female,68,27,Monthly,105,2842,Wireless,UPI,No
C00251,Male,29,18,Yearly,134,2403,Fiber,Bank Transfer,No
C00252,Male,41,67,Yearly,89,5968,DSL,Cash,No
C00253,Male,57,44,Monthly,55,2426,Cable,Cash,No
C00254,Female,30,25,Monthly,66,1637,Wireless,Credit Card,No
C00255,Female,60,57,Quarterly,143,8166,DSL,Cash,No
C00256,Male,46,11,Quarterly,45,502,Wireless,Credit Card,No
C00257,Female,58,67,Yearly,83,5579,Cable,Debit Card,No
C00258,Female,35,66,Monthly,123,8129,DSL,Credit Card,Yes
C00259,Male,27,55,Yearly,52,2862,Wireless,Debit Card,No
C00260,Female,34,70,Yearly,30,2110,Wireless,Credit Card,No
C00261,Male,54,61,Monthly,116,7058,Cable,Credit Card,No
C00262,Female,71,13,Monthly,117,1540,Cable,UPI,Yes
C00263,Female,50,2,Yearly,145,287,DSL,Cash,No
C00264,Male,64,57,Monthly,136,7732,Wireless,Debit Card,Yes
C00265,Male,38,21,Quarterly,138,2899,Cable,UPI,No
C00266,Female,57,13,Quarterly,116,1520,DSL,Bank Transfer,No
C00267,Female,59,47,Monthly,101,4753,Fiber,Cash,No
C00268,Female,47,14,Yearly,125,1766,Cable,UPI,Yes
C00269,Male,43,28,Monthly,133,3713,Fiber,Cash,Yes
C00270,Male,37,63,Monthly,136,8572,Wireless,Credit Card,Yes
C00271,Female,55,33,Monthly,37,1236,Cable,Debit Card,No
C00272,Male,29,25,Monthly,39,974,Wireless,UPI,No
C00273,Female,43,66,Monthly,57,3782,Fiber,Debit Card,No
C00274,Female,64,68,Monthly,99,6716,Cable,Credit Card,Yes
C00275,Female,63,69,Monthly,90,6203,DSL,UPI,Yes
C00276,Female,56,4,Monthly,132,512,Cable,Bank Transfer,No
C00277,Female,58,33,Monthly,86,2842,DSL,Cash,No
C00278,Female,39,43,Yearly,146,6259,Cable,UPI,No
C00279,Male,70,30,Monthly,145,4340,Wireless,Bank Transfer,Yes
C00280,Male,22,47,Monthly,149,7019,Fiber,UPI,No
C00281,Male,19,41,Monthly,128,5239,Wireless,UPI,No
C00282,Female,31,35,Monthly,45,1583,DSL,Bank Transfer,No
C00283,Male,54,47,Yearly,55,2588,DSL,Bank Transfer,No
C00284,Male,42,25,Yearly,103,2570,Wireless,Debit Card,No
C00285,Female,24,69,Quarterly,74,5111,Fiber,UPI,No
C00286,Female,34,67,Quarterly,84,5626,Fiber,Bank Transfer,No
C00287,Female,68,43,Quarterly,133,5725,Fiber,Credit Card,No
C00288,Male,43,64,Monthly,50,3199,Fiber,UPI,Yes
C00289,Male,57,44,Monthly,56,2456,DSL,Credit Card,Yes
C00290,Female,51,56,Yearly,80,4492,DSL,Debit Card,No
C00291,Male,31,42,Monthly,100,4189,DSL,Debit Card,No
C00292,Female,72,25,Monthly,69,1715,Cable,UPI,No
C00293,Male,62,27,Monthly,34,925,DSL,UPI,Yes
C00294,Male,65,71,Quarterly,131,9321,DSL,Bank Transfer,No
C00295,Female,41,63,Quarterly,85,5338,Fiber,Debit Card,No
C00296,Female,31,36,Yearly,43,1549,Wireless,Cash,No
C00297,Female,25,12,Yearly,77,933,DSL,Debit Card,No
C00298,Female,62,54,Monthly,123,6622,Fiber,UPI,No
C00299,Female,74,36,Monthly,98,3517,Fiber,Credit Card,No
C00300,Male,54,43,Quarterly,47,2002,Wireless,UPI,No
C00301,Female,58,57,Monthly,51,2900,Cable,Credit Card,No
C00302,Female,46,33,Yearly,48,1573,Fiber,Credit Card,No
C00303,Male,54,51,Monthly,144,7324,Cable,Debit Card,Yes
C00304,Male,61,30,Monthly,31,944,DSL,Cash,No
C00305,Female,30,41,Monthly,34,1408,Cable,Debit Card,No
C00306,Female,30,44,Monthly,69,3026,DSL,Debit Card,Yes
C00307,Female,21,7,Monthly,72,513,DSL,Cash,Yes
C00308,Female,54,71,Yearly,133,9442,Fiber,Debit Card,Yes
C00309,Female,57,39,Monthly,129,5021,DSL,Credit Card,No
C00310,Male,55,9,Monthly,70,648,Wireless,Cash,No
C00311,Female,59,38,Monthly,110,4177,DSL,Credit Card,Yes
C00312,Male,50,6,Quarterly,54,344,Cable,UPI,Yes
C00313,Male,74,70,Quarterly,104,7268,Cable,UPI,No
C00314,Female,60,41,Yearly,97,3969,Fiber,UPI,No
C00315,Female,50,66,Monthly,62,4110,Fiber,Credit Card,No
C00316,Female,18,54,Quarterly,145,7816,Cable,Credit Card,Yes
C00317,Female,43,52,Yearly,81,4215,Fiber,Cash,No
C00318,Female,26,28,Monthly,47,1329,Fiber,Cash,No
C00319,Male,45,22,Yearly,120,2622,Wireless,Bank Transfer,No
C00320,Female,69,50,Monthly,145,7257,DSL,Cash,Yes
C00321,Male,30,54,Monthly,133,7186,Wireless,Credit Card,No
C00322,Female,29,24,Monthly,45,1062,Fiber,Debit Card,No
C00323,Female,65,68,Monthly,84,5710,Cable,Bank Transfer,Yes
C00324,Male,72,4,Monthly,133,534,DSL,Bank Transfer,No
C00325,Male,39,31,Monthly,59,1813,Wireless,Debit Card,No
C00326,Male,60,36,Monthly,89,3188,DSL,UPI,Yes
C00327,Male,29,54,Quarterly,48,2572,DSL,UPI,No
C00328,Female,37,60,Monthly,64,3844,Wireless,Debit Card,Yes
C00329,Female,50,45,Quarterly,108,4866,Cable,UPI,No
C00330,Female,33,33,Monthly,83,2737,Wireless,Credit Card,Yes
C00331,Male,69,21,Monthly,124,2595,Fiber,Bank Transfer,Yes
C00332,Female,37,22,Yearly,113,2489,DSL,Cash,No
C00333,Male,53,61,Yearly,45,2742,Wireless,Bank Transfer,No
C00334,Male,19,51,Yearly,62,3168,Fiber,UPI,No
C00335,Female,37,12,Monthly,87,1048,Cable,Bank Transfer,Yes
C00336,Female,41,13,Quarterly,100,1285,Cable,Credit Card,No
C00337,Female,40,34,Quarterly,140,4753,DSL,UPI,No
C00338,Male,24,33,Quarterly,101,3338,DSL,Bank Transfer,No
C00339,Female,21,40,Monthly,133,5335,Fiber,Credit Card,Yes
C00340,Female,60,63,Quarterly,109,6849,Cable,Credit Card,No
C00341,Male,28,20,Quarterly,101,2001,Wireless,Credit Card,No
C00342,Female,57,8,Quarterly,128,1016,Fiber,Debit Card,No
C00343,Female,21,26,Monthly,75,1955,DSL,UPI,No
C00344,Male,39,40,Monthly,44,1757,DSL,Debit Card,No
C00345,Male,34,12,Quarterly,82,1004,Fiber,Debit Card,No
C00346,Female,23,70,Quarterly,44,3079,Fiber,UPI,No
C00347,Female,21,50,Monthly,103,5152,Wireless,Credit Card,No
C00348,Male,74,2,Monthly,139,283,Wireless,Cash,No
C00349,Male,67,17,Monthly,91,1545,Fiber,Cash,No
C00350,Female,20,66,Quarterly,148,9769,Fiber,Bank Transfer,No
C00351,Female,36,51,Quarterly,143,7286,Wireless,Bank Transfer,No
C00352,Female,66,54,Monthly,75,4055,Cable,Debit Card,No
C00353,Female,36,59,Yearly,92,5409,Cable,Debit Card,No
C00354,Male,46,36,Monthly,109,3933,DSL,UPI,No
C00355,Female,61,48,Quarterly,51,2438,Fiber,Bank Transfer,No
C00356,Male,65,34,Quarterly,150,5104,Fiber,Cash,No
C00357,Female,52,69,Quarterly,119,8203,Wireless,Bank Transfer,Yes
C00358,Male,27,46,Monthly,77,3542,Cable,Credit Card,Yes
C00359,Female,27,16,Monthly,138,2208,DSL,Cash,Yes
C00360,Female,45,21,Yearly,36,736,Cable,UPI,Yes
C00361,Female,61,17,Quarterly,54,918,DSL,Cash,No
C00362,Female,34,4,Quarterly,93,378,Wireless,Credit Card,No
C00363,Male,44,5,Monthly,123,607,DSL,Bank Transfer,Yes
C00364,Female,57,28,Monthly,52,1441,Wireless,Cash,No
C00365,Male,29,70,Monthly,130,9087,Cable,UPI,No
C00366,Female,69,56,Yearly,87,4857,Cable,Credit Card,No
C00367,Male,42,31,Monthly,45,1391,Fiber,UPI,Yes
C00368,Male,53,60,Monthly,105,6310,Fiber,Cash,Yes
C00369,Female,18,40,Yearly,139,5545,Fiber,Cash,No
C00370,Female,60,30,Monthly,87,2592,Wireless,Cash,No
C00371,Female,50,67,Monthly,108,7251,Cable,Bank Transfer,No
C00372,Male,18,68,Monthly,94,6377,Fiber,Credit Card,Yes
C00373,Female,33,63,Monthly,49,3075,DSL,Credit Card,No
C00374,Male,43,7,Monthly,30,194,Fiber,Credit Card,No
C00375,Female,67,43,Monthly,31,1317,Fiber,UPI,No
C00376,Male,27,34,Quarterly,30,1009,DSL,UPI,No
C00377,Male,19,56,Yearly,43,2402,Cable,Debit Card,No
C00378,Male,75,43,Quarterly,135,5810,DSL,Debit Card,No
C00379,Female,44,50,Yearly,121,6062,Fiber,Bank Transfer,No
C00380,Male,35,55,Yearly,137,7541,Wireless,UPI,No
C00381,Female,71,25,Quarterly,60,1518,Wireless,Debit Card,No
C00382,Female,59,12,Yearly,72,882,Cable,Credit Card,No
C00383,Female,49,21,Monthly,110,2301,Wireless,Cash,Yes
C00384,Male,54,61,Monthly,38,2327,Cable,Cash,Yes
C00385,Female,48,40,Monthly,43,1731,Wireless,UPI,No
C00386,Female,54,9,Monthly,96,872,Wireless,Credit Card,No
C00387,Male,48,64,Monthly,88,5624,Cable,Credit Card,Yes
C00388,Female,57,59,Monthly,89,5243,DSL,Credit Card,No
C00389,Male,22,71,Yearly,96,6823,Wireless,UPI,No
C00390,Male,34,13,Quarterly,69,898,DSL,UPI,No
C00391,Male,30,9,Monthly,57,531,Cable,Bank Transfer,No
C00392,Male,42,42,Quarterly,54,2279,Wireless,Credit Card,No
C00393,Female,24,3,Yearly,118,340,Wireless,UPI,No
C00394,Female,70,22,Monthly,143,3164,DSL,Debit Card,Yes
C00395,Male,31,5,Quarterly,77,370,Cable,Cash,No
C00396,Male,37,69,Monthly,47,3246,Cable,Debit Card,Yes
C00397,Male,54,37,Monthly,45,1684,Wireless,UPI,No
C00398,Male,69,45,Quarterly,53,2375,DSL,UPI,No
C00399,Female,67,28,Monthly,52,1441,Cable,Credit Card,No
C00400,Female,46,63,Quarterly,61,3842,DSL,Cash,No
C00401,Male,32,9,Monthly,33,306,Cable,Cash,Yes
C00402,Male,71,47,Quarterly,31,1438,DSL,Bank Transfer,No
C00403,Female,19,55,Quarterly,61,3354,Cable,Cash,No
C00404,Male,50,31,Yearly,51,1582,Cable,Debit Card,No
C00405,Female,64,1,Monthly,36,17,Fiber,UPI,No
C00406,Male,41,66,Quarterly,110,7258,Cable,Cash,Yes
C00407,Female,55,48,Quarterly,38,1838,Cable,Credit Card,No
C00408,Male,30,56,Yearly,85,4780,DSL,Debit Card,No
C00409,Female,52,62,Monthly,100,6192,DSL,UPI,No
C00410,Male,54,27,Yearly,147,3967,Cable,Cash,No
C00411,Male,46,25,Yearly,129,3240,Fiber,Bank Transfer,No
C00412,Female,38,31,Yearly,113,3487,Wireless,Debit Card,Yes
C00413,Male,34,28,Monthly,130,3650,Fiber,Bank Transfer,Yes
